apprehensionstate	citizenshipcountry	arrestsbiden	arrests_perdaybiden	arreststrump	arrests_perdaytrump	popACS2023	popACS2024	ln2023	ln2024	predicted	predicted_level	pop_combined	pct_peryear_biden	pct_peryear_trump
"VIRGINIA"	"NICARAGUA"	69	.1363636	183	.9631579	7285	5118	8.893573	8.540519	9.322986	11192.35	5118	.009725	.0686895
"VIRGINIA"	"PERU"	66	.1304348	259	1.363158	28320	32376	10.25132	10.38517	10.35788	31504.46	32376	.0014705	.0153679
"VIRGINIA"	"ROMANIA"	13	.0256917	17	.0894737	2595	4036	7.861342	8.303009	7.805351	2453.697	4036	.0023235	.0080916
"VIRGINIA"	"RUSSIA"	3	.0059289	10	.0526316	9600	9422	9.169518	9.150803	9.143557	9353.975	9422	.0002297	.0020389
"VIRGINIA"	"UZBEKISTAN"	1	.0019763	2	.0105263	1206	1177	7.095064	7.070724	7.031044	1131.211	1177	.0006129	.0032643
"VIRGINIA"	"VENEZUELA"	58	.1146245	276	1.452632	9133	12124	9.11965	9.402943	9.723137	16699.55	12124	.0034508	.0437323
"WASHINGTON"	"BOLIVIA"			3	.0157895	807	440	6.693324	6.086775	6.665484	784.8436	440		.0130981
"WASHINGTON"	"BRAZIL"	34	.0671937	8	.0421053	9415	12739	9.15006	9.452423	9.371982	11754.38	12739	.0019252	.0012064
"WASHINGTON"	"CHINA"	13	.0256917	10	.0526316	114984	136022	11.65255	11.82057	11.74436	126040.4	136022	.0000689	.0001412
"WASHINGTON"	"COLOMBIA"	105	.2075099	43	.2263158	6648	9959	8.802072	9.206232	9.184417	9744.096	9959	.0076053	.0082945
"WASHINGTON"	"CUBA"	14	.027668	7	.0368421	3090	1868	8.035927	7.532624	8.465729	4749.187	1868	.0054062	.0071988
"WASHINGTON"	"DOMINICAN REPUBLIC"	3	.0059289			1457	2191	7.284135	7.692113	7.280879	1452.264	2191	.0009877	
"WASHINGTON"	"ECUADOR"	18	.0355731	6	.0315789	1891	4781	7.544861	8.472405	7.802699	2447.198	4781	.0027158	.0024109
"WASHINGTON"	"EL SALVADOR"	17	.0335968	28	.1473684	13476	15036	9.508666	9.618202	9.55136	14063.81	15036	.0008156	.0035774
"WASHINGTON"	"GUATEMALA"	75	.1482213	72	.3789474	13895	14188	9.539285	9.560152	9.7301	16816.23	14188	.0038131	.0097488
"WASHINGTON"	"HAITI"	4	.0079051	5	.0263158	2185	1569	7.689371	7.358194	8.006081	2999.139	1569	.001839	.0061219
"WASHINGTON"	"HONDURAS"	88	.173913	53	.2789474	7394	9770	8.908424	9.187072	9.109647	9042.101	9770	.0064973	.0104213
"WASHINGTON"	"INDIA"	180	.3557312	29	.1526316	106527	134602	11.57615	11.81008	11.69311	119743.4	134602	.0009646	.0004139
"WASHINGTON"	"JAMAICA"			1	.0052632	3510	2760	8.163371	7.922986	8.257941	3858.143	2760		.000696
"WASHINGTON"	"MEXICO"	516	1.019763	504	2.652632	249244	248998	12.42619	12.4252	12.45871	257482.9	248998	.0014948	.0038884
"WASHINGTON"	"NICARAGUA"	113	.2233202	33	.1736842	1525	3758	7.32975	8.231642	7.934889	2793.048	3758	.0216902	.0168693
"WASHINGTON"	"PERU"	60	.1185771	22	.1157895	5438	7334	8.601167	8.900276	8.716076	6100.194	7334	.0059014	.0057626
"WASHINGTON"	"ROMANIA"	19	.0375494	9	.0473684	7629	7236	8.939713	8.886824	8.892602	7277.932	7236	.0018941	.0023894
"WASHINGTON"	"RUSSIA"	12	.0237154	7	.0368421	21330	18443	9.96787	9.82244	10.00349	22103.38	18443	.0004693	.0007291
"WASHINGTON"	"UZBEKISTAN"	2	.0039526			2668	3736	7.889084	8.225771	7.792539	2422.461	3736	.0003862	
"WASHINGTON"	"VENEZUELA"	70	.1383399	83	.4368421	3524	9090	8.167352	9.11493	8.876352	7160.624	9090	.0055549	.017541
"WEST VIRGINIA"	"BOLIVIA"			3	.0157895	51		3.931826		3.872941	48.08358	48.08358		.1198571
"WEST VIRGINIA"	"BRAZIL"	1	.0019763			286		5.655992		6.125573	457.4068	457.4068	.001577	
"WEST VIRGINIA"	"CHINA"	1	.0019763	1	.0052632	1948		7.574558		7.542344	1886.246	1886.246	.0003824	.0010185
"WEST VIRGINIA"	"COLOMBIA"	8	.0158103	2	.0105263	319		5.765191		6.388374	594.8884	594.8884	.0097006	.0064585
"WEST VIRGINIA"	"CUBA"	4	.0079051	2	.0105263	304		5.717028		6.3938	598.125	598.125	.004824	.0064236
"WEST VIRGINIA"	"DOMINICAN REPUBLIC"	21	.041502			531		6.274762		6.235331	510.4693	510.4693	.0296751	
"WEST VIRGINIA"	"ECUADOR"	10	.0197628	3	.0157895	237		5.46806		5.751173	314.5593	314.5593	.0229319	.0183214
"WEST VIRGINIA"	"EL SALVADOR"	13	.0256917	20	.1052632	900		6.802395		6.787254	886.4763	886.4763	.0105784	.0433413
"WEST VIRGINIA"	"GUATEMALA"	21	.041502	66	.3473684	472		6.156979		6.304389	546.967	546.967	.0276949	.2318046
"WEST VIRGINIA"	"HAITI"			1	.0052632	122		4.804021		5.136169	170.0631	170.0631		.0112961
"WEST VIRGINIA"	"HONDURAS"	18	.0355731	50	.2631579	494		6.202536		6.497024	663.1652	663.1652	.0195791	.1448397
"WEST VIRGINIA"	"INDIA"	3	.0059289	2	.0105263	2371		7.771067		7.779863	2391.948	2391.948	.0009047	.0016063
"WEST VIRGINIA"	"JAMAICA"	3	.0059289	4	.0210526	546		6.302619		6.400175	601.9501	601.9501	.003595	.0127655
"WEST VIRGINIA"	"MEXICO"	115	.2272727	184	.968421	2563		7.848934		7.88315	2652.214	2652.214	.0312775	.1332749
"WEST VIRGINIA"	"NICARAGUA"			4	.0210526	116		4.75359		5.648212	283.7836	283.7836		.0270777
"WEST VIRGINIA"	"PERU"	1	.0019763	2	.0105263	347		5.849325		5.978156	394.7119	394.7119	.0018275	.0097339
"WEST VIRGINIA"	"ROMANIA"	4	.0079051			113		4.727388		4.64559	104.1248	104.1248	.0277107	
"WEST VIRGINIA"	"RUSSIA"	2	.0039526			226		5.420535		5.105409	164.9115	164.9115	.0087483	
"WEST VIRGINIA"	"VENEZUELA"	3	.0059289	2	.0105263	183		5.209486		6.246216	516.0563	516.0563	.0041934	.0074451
"WISCONSIN"	"BRAZIL"			1	.0052632	2403	2354	7.784473	7.763871	8.103188	3304.986	2354		.0008161
"WISCONSIN"	"CHINA"	2	.0039526	4	.0210526	16992	16642	9.740498	9.719685	9.774157	17573.66	16642	.0000867	.0004617
"WISCONSIN"	"COLOMBIA"	31	.0612648	20	.1052632	3994	8471	8.292548	9.044404	8.715301	6095.466	8471	.0026398	.0045356
"WISCONSIN"	"CUBA"	3	.0059289	4	.0210526	950	1760	6.856462	7.473069	7.411881	1655.537	1760	.0012296	.004366
"WISCONSIN"	"DOMINICAN REPUBLIC"	15	.0296443	5	.0263158	2168	1615	7.681561	7.38709	7.692548	2191.953	1615	.0066998	.0059475
"WISCONSIN"	"ECUADOR"	11	.0217391	16	.0842105	1077	1212	6.981935	7.100027	7.246624	1403.358	1212	.0065469	.0253604
"WISCONSIN"	"EL SALVADOR"	8	.0158103	8	.0421053	1448	1867	7.277938	7.532088	7.272961	1440.81	1867	.0030909	.0082316
"WISCONSIN"	"GUATEMALA"	23	.0454545	10	.0526316	3155	3490	8.056744	8.157657	8.228533	3746.333	3490	.0047538	.0055044
